"Type"	"File"	"Click"	"X"	"Y"	"R"	"G"	"B"	"Annotation"
"Incorrect"	"Slide6.mrxs_-_y0032_x0010.png"	"7"	"368"	"679"	"186"	"34"	"119"	""
"Incorrect"	"Slide6.mrxs_-_y0032_x0010.png"	"8"	"142"	"792"	"172"	"37"	"123"	""
"Incorrect"	"Slide6.mrxs_-_y0032_x0010.png"	"9"	"105"	"759"	"189"	"31"	"114"	""
"Lymphocyte"	"Slide1.mrxs_-_y0022_x0027.png"	"1"	"1123"	"1132"	"53"	"7"	"69"	""
"Lymphocyte"	"Slide1.mrxs_-_y0022_x0027.png"	"2"	"1093"	"898"	"44"	"0"	"86"	""
"Lymphocyte"	"Slide1.mrxs_-_y0022_x0027.png"	"3"	"1143"	"928"	"61"	"7"	"83"	""
"Lymphocyte"	"Slide10.mrxs_-_y0022_x0006.png"	"1"	"220"	"278"	"48"	"4"	"89"	""
"Lymphocyte"	"Slide10.mrxs_-_y0022_x0006.png"	"2"	"236"	"359"	"31"	"0"	"68"	""
"Lymphocyte"	"Slide10.mrxs_-_y0022_x0006.png"	"3"	"216"	"368"	"34"	"8"	"55"	""
"Lymphocyte"	"Slide10.mrxs_-_y0022_x0006.png"	"4"	"196"	"414"	"28"	"4"	"73"	""
"Lymphocyte"	"Slide10.mrxs_-_y0025_x0000.png"	"1"	"491"	"892"	"49"	"21"	"96"	""
"Lymphocyte"	"Slide10.mrxs_-_y0025_x0000.png"	"2"	"461"	"885"	"54"	"13"	"79"	""
"Lymphocyte"	"Slide10.mrxs_-_y0025_x0000.png"	"3"	"513"	"894"	"43"	"14"	"81"	""
"Lymphocyte"	"Slide10.mrxs_-_y0025_x0000.png"	"4"	"384"	"954"	"42"	"4"	"102"	""
"Lymphocyte"	"Slide10.mrxs_-_y0025_x0000.png"	"5"	"368"	"1026"	"35"	"2"	"83"	""
"Lymphocyte"	"Slide10.mrxs_-_y0025_x0014.png"	"1"	"684"	"754"	"66"	"19"	"92"	""
"Lymphocyte"	"Slide10.mrxs_-_y0025_x0014.png"	"2"	"364"	"516"	"55"	"18"	"64"	""
"Lymphocyte"	"Slide10.mrxs_-_y0025_x0014.png"	"3"	"260"	"465"	"42"	"6"	"93"	""
"Lymphocyte"	"Slide10.mrxs_-_y0025_x0014.png"	"4"	"38"	"354"	"73"	"18"	"102"	""
"Lymphocyte"	"Slide11.mrxs_-_y0049_x0015.png"	"1"	"564"	"876"	"35"	"3"	"94"	""
"Lymphocyte"	"Slide11.mrxs_-_y0049_x0015.png"	"2"	"471"	"928"	"32"	"0"	"64"	""
"Lymphocyte"	"Slide11.mrxs_-_y0049_x0015.png"	"3"	"417"	"939"	"36"	"5"	"67"	""
"Lymphocyte"	"Slide11.mrxs_-_y0051_x0014.png"	"1"	"893"	"1063"	"40"	"4"	"82"	""
"Lymphocyte"	"Slide11.mrxs_-_y0051_x0014.png"	"2"	"866"	"1065"	"37"	"7"	"78"	""
"Lymphocyte"	"Slide11.mrxs_-_y0051_x0014.png"	"3"	"886"	"1088"	"48"	"4"	"84"	""
"Lymphocyte"	"Slide11.mrxs_-_y0051_x0014.png"	"4"	"893"	"1096"	"45"	"7"	"96"	""
"Lymphocyte"	"Slide11.mrxs_-_y0051_x0014.png"	"5"	"408"	"1047"	"40"	"6"	"81"	""
"Lymphocyte"	"Slide11.mrxs_-_y0051_x0014.png"	"6"	"397"	"1047"	"53"	"11"	"68"	""
"Lymphocyte"	"Slide11.mrxs_-_y0051_x0014.png"	"7"	"397"	"1030"	"73"	"22"	"101"	""
"Lymphocyte"	"Slide11.mrxs_-_y0051_x0014.png"	"8"	"370"	"1006"	"54"	"12"	"84"	""
"Lymphocyte"	"Slide4.mrxs_-_y0014_x0020.png"	"1"	"489"	"956"	"35"	"4"	"69"	""
"Lymphocyte"	"Slide4.mrxs_-_y0014_x0020.png"	"2"	"375"	"651"	"53"	"2"	"71"	""
"Lymphocyte"	"Slide4.mrxs_-_y0014_x0020.png"	"3"	"422"	"397"	"59"	"4"	"75"	""
"Lymphocyte"	"Slide7.mrxs_-_y0022_x0015.png"	"1"	"442"	"555"	"41"	"1"	"65"	""
"Lymphocyte"	"Slide7.mrxs_-_y0022_x0015.png"	"2"	"481"	"665"	"57"	"2"	"77"	""
"Macrophage"	"Slide10.mrxs_-_y0025_x0000.png"	"1"	"811"	"1091"	"134"	"68"	"158"	""
"Macrophage"	"Slide10.mrxs_-_y0025_x0000.png"	"2"	"832"	"1068"	"116"	"54"	"148"	""
"Macrophage"	"Slide10.mrxs_-_y0025_x0014.png"	"1"	"216"	"1176"	"165"	"103"	"172"	""
"Macrophage"	"Slide10.mrxs_-_y0025_x0014.png"	"2"	"156"	"1119"	"157"	"79"	"169"	""
"Macrophage"	"Slide10.mrxs_-_y0025_x0014.png"	"3"	"128"	"1115"	"167"	"100"	"186"	""
"Macrophage"	"Slide10.mrxs_-_y0025_x0014.png"	"4"	"306"	"1202"	"173"	"105"	"179"	""
"Macrophage"	"Slide18.mrxs_-_y0047_x0011.png"	"1"	"535"	"665"	"175"	"116"	"176"	""
"Macrophage"	"Slide18.mrxs_-_y0047_x0011.png"	"2"	"164"	"639"	"70"	"5"	"101"	""
"Macrophage"	"Slide18.mrxs_-_y0047_x0011.png"	"3"	"544"	"375"	"137"	"72"	"152"	""
"Other"	"Slide1.mrxs_-_y0012_x0018.png"	"1"	"523"	"585"	"161"	"17"	"89"	""
"Other"	"Slide1.mrxs_-_y0012_x0018.png"	"2"	"545"	"517"	"151"	"21"	"79"	""
"Other"	"Slide1.mrxs_-_y0012_x0018.png"	"3"	"568"	"521"	"170"	"32"	"87"	""
"Other"	"Slide1.mrxs_-_y0012_x0018.png"	"4"	"243"	"590"	"174"	"52"	"128"	""
"Other"	"Slide1.mrxs_-_y0012_x0018.png"	"5"	"296"	"509"	"150"	"23"	"74"	""
"Other"	"Slide10.mrxs_-_y0022_x0006.png"	"1"	"835"	"418"	"82"	"28"	"126"	""
"Other"	"Slide10.mrxs_-_y0022_x0006.png"	"2"	"1116"	"593"	"116"	"46"	"143"	""
"Other"	"Slide10.mrxs_-_y0022_x0006.png"	"3"	"946"	"326"	"105"	"41"	"137"	""
"Other"	"Slide10.mrxs_-_y0022_x0006.png"	"4"	"530"	"119"	"71"	"2"	"108"	""
"Other"	"Slide10.mrxs_-_y0022_x0006.png"	"5"	"454"	"808"	"181"	"15"	"72"	""
"Other"	"Slide10.mrxs_-_y0022_x0006.png"	"6"	"431"	"843"	"182"	"18"	"68"	""
"Other"	"Slide10.mrxs_-_y0022_x0006.png"	"7"	"328"	"986"	"177"	"16"	"57"	""
"Other"	"Slide10.mrxs_-_y0022_x0006.png"	"8"	"383"	"1005"	"223"	"58"	"118"	""
"Other"	"Slide10.mrxs_-_y0022_x0006.png"	"9"	"275"	"1089"	"196"	"46"	"92"	""
"Other"	"Slide10.mrxs_-_y0025_x0000.png"	"1"	"888"	"25"	"183"	"24"	"55"	""
"Other"	"Slide10.mrxs_-_y0025_x0000.png"	"2"	"1194"	"235"	"160"	"28"	"63"	""
"Other"	"Slide11.mrxs_-_y0049_x0015.png"	"1"	"242"	"171"	"43"	"5"	"52"	""
"Other"	"Slide11.mrxs_-_y0049_x0015.png"	"2"	"188"	"493"	"172"	"23"	"64"	""
"Other"	"Slide11.mrxs_-_y0049_x0015.png"	"3"	"308"	"508"	"154"	"26"	"85"	""
"Other"	"Slide11.mrxs_-_y0051_x0014.png"	"1"	"332"	"556"	"158"	"23"	"47"	""
"Other"	"Slide11.mrxs_-_y0051_x0014.png"	"2"	"91"	"994"	"91"	"38"	"126"	""
"Other"	"Slide17.mrxs_-_y0038_x0011.png"	"1"	"347"	"548"	"70"	"2"	"111"	""
"Other"	"Slide17.mrxs_-_y0038_x0011.png"	"2"	"460"	"594"	"110"	"49"	"150"	""
"Other"	"Slide17.mrxs_-_y0038_x0011.png"	"3"	"847"	"1097"	"183"	"41"	"99"	""
"Other"	"Slide17.mrxs_-_y0038_x0011.png"	"4"	"863"	"1163"	"184"	"26"	"100"	""
"Other"	"Slide17.mrxs_-_y0040_x0004.png"	"1"	"93"	"338"	"146"	"5"	"21"	""
"Other"	"Slide17.mrxs_-_y0040_x0004.png"	"2"	"92"	"423"	"162"	"13"	"58"	""
"Other"	"Slide4.mrxs_-_y0013_x0016.png"	"1"	"619"	"634"	"204"	"42"	"103"	""
"Other"	"Slide4.mrxs_-_y0013_x0016.png"	"2"	"541"	"647"	"163"	"10"	"67"	""
"Other"	"Slide4.mrxs_-_y0013_x0016.png"	"3"	"322"	"893"	"45"	"0"	"48"	""
"Other"	"Slide7.mrxs_-_y0022_x0015.png"	"1"	"217"	"742"	"45"	"4"	"64"	""
"Other"	"Slide7.mrxs_-_y0022_x0015.png"	"2"	"167"	"756"	"37"	"6"	"49"	""
"Stromal"	"Slide1.mrxs_-_y0022_x0027.png"	"1"	"1154"	"1036"	"79"	"5"	"80"	""
"Stromal"	"Slide10.mrxs_-_y0025_x0000.png"	"1"	"798"	"1102"	"89"	"28"	"125"	""
"Stromal"	"Slide10.mrxs_-_y0025_x0000.png"	"2"	"1088"	"957"	"70"	"15"	"105"	""
"Stromal"	"Slide10.mrxs_-_y0025_x0014.png"	"1"	"332"	"994"	"97"	"38"	"120"	""
"Stromal"	"Slide10.mrxs_-_y0025_x0014.png"	"2"	"284"	"919"	"79"	"20"	"120"	""
"Stromal"	"Slide10.mrxs_-_y0025_x0014.png"	"3"	"103"	"894"	"119"	"59"	"146"	""
"Stromal"	"Slide10.mrxs_-_y0025_x0014.png"	"4"	"111"	"981"	"138"	"61"	"155"	""
"Stromal"	"Slide10.mrxs_-_y0025_x0014.png"	"5"	"64"	"1016"	"107"	"48"	"139"	""
"Stromal"	"Slide10.mrxs_-_y0025_x0014.png"	"6"	"869"	"1189"	"99"	"42"	"124"	""
"Stromal"	"Slide10.mrxs_-_y0025_x0014.png"	"7"	"1084"	"1202"	"128"	"51"	"127"	""
"Stromal"	"Slide10.mrxs_-_y0025_x0014.png"	"8"	"1168"	"1236"	"133"	"70"	"151"	""
"Stromal"	"Slide11.mrxs_-_y0049_x0015.png"	"1"	"281"	"1009"	"115"	"50"	"137"	""
"Stromal"	"Slide11.mrxs_-_y0049_x0015.png"	"2"	"293"	"996"	"93"	"30"	"121"	""
"Stromal"	"Slide11.mrxs_-_y0049_x0015.png"	"3"	"429"	"963"	"75"	"17"	"112"	""
"Stromal"	"Slide11.mrxs_-_y0049_x0015.png"	"4"	"1133"	"332"	"57"	"7"	"96"	""
"Stromal"	"Slide11.mrxs_-_y0049_x0015.png"	"5"	"1216"	"161"	"103"	"28"	"131"	""
"Stromal"	"Slide11.mrxs_-_y0049_x0015.png"	"6"	"1230"	"119"	"113"	"44"	"139"	""
"Stromal"	"Slide11.mrxs_-_y0049_x0015.png"	"7"	"1225"	"85"	"60"	"12"	"105"	""
"Stromal"	"Slide11.mrxs_-_y0051_x0014.png"	"1"	"772"	"626"	"79"	"36"	"132"	""
"Stromal"	"Slide11.mrxs_-_y0051_x0014.png"	"2"	"740"	"659"	"58"	"15"	"109"	""
"Stromal"	"Slide11.mrxs_-_y0051_x0014.png"	"3"	"833"	"543"	"97"	"54"	"148"	""
"Stromal"	"Slide11.mrxs_-_y0051_x0014.png"	"4"	"996"	"490"	"110"	"57"	"150"	""
"Stromal"	"Slide11.mrxs_-_y0051_x0014.png"	"5"	"1131"	"550"	"71"	"22"	"122"	""
"Stromal"	"Slide11.mrxs_-_y0051_x0014.png"	"6"	"1057"	"533"	"77"	"14"	"121"	""
"Stromal"	"Slide11.mrxs_-_y0051_x0014.png"	"7"	"1104"	"547"	"93"	"42"	"153"	""
"Stromal"	"Slide11.mrxs_-_y0051_x0014.png"	"8"	"380"	"253"	"60"	"21"	"108"	""
"Stromal"	"Slide11.mrxs_-_y0051_x0014.png"	"9"	"293"	"279"	"58"	"10"	"103"	""
"Stromal"	"Slide17.mrxs_-_y0038_x0011.png"	"1"	"418"	"225"	"77"	"17"	"106"	""
"Stromal"	"Slide17.mrxs_-_y0038_x0011.png"	"2"	"435"	"240"	"72"	"9"	"75"	""
"Stromal"	"Slide17.mrxs_-_y0038_x0011.png"	"3"	"470"	"271"	"50"	"0"	"91"	""
"Stromal"	"Slide17.mrxs_-_y0038_x0011.png"	"4"	"522"	"567"	"70"	"9"	"89"	""
"Stromal"	"Slide17.mrxs_-_y0040_x0004.png"	"1"	"608"	"904"	"69"	"5"	"69"	""
"Stromal"	"Slide17.mrxs_-_y0040_x0004.png"	"2"	"765"	"925"	"86"	"7"	"100"	""
"Stromal"	"Slide18.mrxs_-_y0047_x0011.png"	"1"	"922"	"638"	"62"	"10"	"93"	""
"Stromal"	"Slide18.mrxs_-_y0047_x0011.png"	"2"	"868"	"502"	"28"	"6"	"53"	""
"Stromal"	"Slide18.mrxs_-_y0047_x0011.png"	"3"	"875"	"556"	"62"	"0"	"88"	""
"Stromal"	"Slide18.mrxs_-_y0047_x0011.png"	"4"	"1192"	"958"	"68"	"15"	"97"	""
"Stromal"	"Slide18.mrxs_-_y0047_x0011.png"	"5"	"1143"	"928"	"79"	"23"	"98"	""
"Stromal"	"Slide4.mrxs_-_y0013_x0016.png"	"1"	"328"	"746"	"70"	"4"	"80"	""
"Stromal"	"Slide4.mrxs_-_y0013_x0016.png"	"2"	"403"	"735"	"80"	"12"	"85"	""
"Stromal"	"Slide4.mrxs_-_y0013_x0016.png"	"3"	"428"	"732"	"68"	"1"	"77"	""
"Stromal"	"Slide4.mrxs_-_y0013_x0016.png"	"4"	"556"	"754"	"62"	"0"	"63"	""
"Stromal"	"Slide4.mrxs_-_y0013_x0016.png"	"5"	"375"	"616"	"55"	"0"	"88"	""
"Stromal"	"Slide4.mrxs_-_y0013_x0016.png"	"6"	"419"	"608"	"52"	"2"	"80"	""
"Stromal"	"Slide4.mrxs_-_y0013_x0016.png"	"7"	"444"	"575"	"89"	"12"	"93"	""
"Stromal"	"Slide4.mrxs_-_y0014_x0020.png"	"1"	"1189"	"791"	"89"	"8"	"85"	""
"Stromal"	"Slide4.mrxs_-_y0014_x0020.png"	"2"	"1106"	"825"	"53"	"0"	"97"	""
"Stromal"	"Slide4.mrxs_-_y0014_x0020.png"	"3"	"1025"	"940"	"91"	"3"	"105"	""
"Stromal"	"Slide6.mrxs_-_y0031_x0012.png"	"1"	"620"	"763"	"68"	"12"	"83"	""
"VascularEndothel"	"Slide10.mrxs_-_y0022_x0006.png"	"1"	"230"	"554"	"94"	"29"	"143"	""
"VascularEndothel"	"Slide10.mrxs_-_y0022_x0006.png"	"2"	"240"	"580"	"109"	"44"	"150"	""
"VascularEndothel"	"Slide10.mrxs_-_y0022_x0006.png"	"3"	"263"	"731"	"65"	"0"	"92"	""
"VascularEndothel"	"Slide10.mrxs_-_y0022_x0006.png"	"4"	"257"	"904"	"103"	"30"	"120"	""
"VascularEndothel"	"Slide10.mrxs_-_y0022_x0006.png"	"5"	"266"	"954"	"77"	"15"	"116"	""
"VascularEndothel"	"Slide10.mrxs_-_y0022_x0006.png"	"6"	"242"	"1018"	"87"	"19"	"140"	""
"VascularEndothel"	"Slide10.mrxs_-_y0022_x0006.png"	"7"	"183"	"1060"	"89"	"30"	"124"	""
"VascularEndothel"	"Slide10.mrxs_-_y0022_x0006.png"	"8"	"1132"	"202"	"116"	"55"	"144"	""
"VascularEndothel"	"Slide10.mrxs_-_y0022_x0006.png"	"9"	"1147"	"220"	"112"	"37"	"144"	""
"VascularEndothel"	"Slide10.mrxs_-_y0022_x0006.png"	"10"	"1161"	"235"	"92"	"31"	"119"	""
"VascularEndothel"	"Slide10.mrxs_-_y0022_x0006.png"	"11"	"1231"	"284"	"117"	"52"	"142"	""
"VascularEndothel"	"Slide10.mrxs_-_y0022_x0006.png"	"12"	"1079"	"79"	"106"	"30"	"121"	""
"VascularEndothel"	"Slide10.mrxs_-_y0025_x0000.png"	"1"	"853"	"63"	"102"	"38"	"138"	""
"VascularEndothel"	"Slide10.mrxs_-_y0025_x0000.png"	"2"	"1160"	"1001"	"42"	"6"	"92"	""
"VascularEndothel"	"Slide10.mrxs_-_y0025_x0000.png"	"3"	"1160"	"976"	"80"	"11"	"89"	""
"VascularEndothel"	"Slide11.mrxs_-_y0049_x0015.png"	"1"	"698"	"426"	"53"	"10"	"98"	""
"VascularEndothel"	"Slide11.mrxs_-_y0049_x0015.png"	"2"	"480"	"638"	"68"	"16"	"109"	""
"VascularEndothel"	"Slide11.mrxs_-_y0049_x0015.png"	"3"	"221"	"522"	"83"	"6"	"85"	""
"VascularEndothel"	"Slide11.mrxs_-_y0049_x0015.png"	"4"	"268"	"490"	"69"	"9"	"109"	""
"VascularEndothel"	"Slide11.mrxs_-_y0051_x0014.png"	"1"	"347"	"619"	"81"	"22"	"118"	""
"VascularEndothel"	"Slide11.mrxs_-_y0051_x0014.png"	"2"	"385"	"532"	"92"	"38"	"130"	""
"VascularEndothel"	"Slide11.mrxs_-_y0051_x0014.png"	"3"	"306"	"515"	"105"	"49"	"140"	""
"VascularEndothel"	"Slide11.mrxs_-_y0051_x0014.png"	"4"	"516"	"770"	"61"	"10"	"94"	""
"VascularEndothel"	"Slide11.mrxs_-_y0051_x0014.png"	"5"	"523"	"685"	"87"	"38"	"121"	""
"VascularEndothel"	"Slide17.mrxs_-_y0040_x0004.png"	"1"	"379"	"109"	"86"	"14"	"84"	""
"VascularEndothel"	"Slide17.mrxs_-_y0040_x0004.png"	"2"	"342"	"110"	"62"	"0"	"62"	""
"VascularEndothel"	"Slide17.mrxs_-_y0040_x0004.png"	"3"	"216"	"147"	"62"	"3"	"71"	""
"VascularEndothel"	"Slide17.mrxs_-_y0040_x0004.png"	"4"	"114"	"190"	"66"	"6"	"85"	""
"VascularEndothel"	"Slide17.mrxs_-_y0040_x0004.png"	"5"	"55"	"246"	"80"	"36"	"94"	""
"VascularEndothel"	"Slide17.mrxs_-_y0040_x0004.png"	"6"	"509"	"436"	"90"	"14"	"95"	""
"VascularEndothel"	"Slide17.mrxs_-_y0040_x0004.png"	"7"	"333"	"581"	"79"	"3"	"101"	""
"VascularEndothel"	"Slide17.mrxs_-_y0040_x0004.png"	"8"	"304"	"608"	"65"	"0"	"73"	""
"VascularEndothel"	"Slide17.mrxs_-_y0046_x0020.png"	"1"	"468"	"1030"	"159"	"124"	"177"	""
"VascularEndothel"	"Slide17.mrxs_-_y0046_x0020.png"	"2"	"401"	"961"	"114"	"19"	"102"	""
"VascularEndothel"	"Slide17.mrxs_-_y0046_x0020.png"	"3"	"382"	"936"	"64"	"2"	"99"	""
"VascularEndothel"	"Slide17.mrxs_-_y0046_x0020.png"	"4"	"360"	"908"	"52"	"3"	"86"	""
"VascularEndothel"	"Slide17.mrxs_-_y0046_x0020.png"	"5"	"271"	"968"	"56"	"5"	"80"	""
"VascularEndothel"	"Slide17.mrxs_-_y0046_x0020.png"	"6"	"258"	"998"	"77"	"7"	"84"	""
